STORE_NO,DEPT_NO,CSTD_GRADE,PHASE_STARTDATE
5357,G5-G6H4,F7,25-Aug-28
6468,G5-I5J5,G8,29-Sep-28
7579,G5-K4L6,H9,27-Oct-28
8681,G5-M3N7,I1,24-Nov-28
9792,G5-O2P8,J2,29-Dec-28
1924,G5-Q1R9,K3,26-Jan-29
2135,G5-S9T1,L4,23-Feb-29
3246,G5-U8V2,M5,30-Mar-29
4357,G5-W7X3,N6,27-Apr-29
5468,G5-Y6Z4,P7,25-May-29
6579,G5-AB56,Q8,29-Jun-29
7681,G5-CD78,R9,27-Jul-29
8792,G5-EF91,S1,31-Aug-29
9813,G5-GH23,T2,28-Sep-29
2346,G5-IJ45,U3,26-Oct-29
3457,G5-KL67,V4,30-Nov-29
4568,G5-MN89,W5,28-Dec-29
5679,G5-OP12,X6,25-Jan-30
6781,G5-QR34,Y7,22-Feb-30
7892,G5-ST56,Z8,29-Mar-30
8913,G5-UV78,A3,26-Apr-30
9124,G5-WX91,B4,31-May-30
1235,G5-YZ23,C5,28-Jun-30
2347,G5-A4B5,D6,26-Jul-30
3458,G5-C6D7,E7,30-Aug-30
4569,G5-E8F9,F8,27-Sep-30
5671,G5-G1H2,G9,25-Oct-30
6782,G5-I3J4,H1,29-Nov-30
7893,G5-K5L7,I2,27-Dec-30
8914,G5-M6N8,J3,31-Jan-31
9125,G5-O7P9,K4,28-Feb-31
1236,G5-Q8R1,L5,28-Mar-31
2348,G5-S9T3,M6,25-Apr-31
3459,G5-U1V4,N7,30-May-31
4561,G5-W2X5,P8,27-Jun-31
5672,G5-Y3Z6,Q9,25-Jul-31
6783,G5-AA78,R1,29-Aug-31
7894,G5-BB91,S2,26-Sep-31
8915,G5-CC23,T3,31-Oct-31
9126,G5-DD45,U4,28-Nov-31
1237,G5-EE67,V5,26-Dec-31
2349,G5-FF89,W6,30-Jan-32
3451,G5-GG12,X7,27-Feb-32
4562,G5-HH34,Y8,26-Mar-32
5673,G5-II56,Z9,30-Apr-32
1122,G5-E4F,P7,21-Apr-25
2233,G5-G5H6,Q8,26-May-25
3344,G5-I7J,R9,30-Jun-25
4455,G5-K8L9,S1,14-Jul-25
5566,G5-M1N,T2,18-Aug-25
6677,G5-O2P3,U3,22-Sep-25
7788,G5-Q4R,V4,27-Oct-25
8899,G5-S5T6,W5,21-Nov-25
9911,G5-U7V,X6,15-Dec-25
1213,G5-W8X9,Y7,19-Jan-26
2324,G5-Y1Z,Z8,23-Feb-26
3435,G5-AB2C,A9,19-Mar-26
4546,G5-DE3,B1,23-Apr-26
5657,G5-FG4H,C2,28-May-26
6768,G5-IJ5,D3,22-Jun-26
7879,G5-KL6M,E4,27-Jul-26
8981,G5-NO7,F5,21-Aug-26
9192,G5-PQ8R,G6,25-Sep-26
1314,G5-ST9,H7,29-Oct-26
2425,G5-UV1W,I8,23-Nov-26
3536,G5-XY2,J9,18-Dec-26
4647,G5-ZA3B,K1,22-Jan-27
5758,G5-CD4,L2,26-Feb-27
6869,G5-EF5G,M3,22-Mar-27
7971,G5-HI6,N4,26-Apr-27
8182,G5-JK7L,O5,31-May-27
9293,G5-MN8,P6,25-Jun-27
1415,G5-OP9Q,Q7,29-Jul-27
2526,G5-RS1,R8,23-Aug-27
3637,G5-TU2V,S9,27-Sep-27
4748,G5-WX3,T1,31-Oct-27
5859,G5-YZ4A,U2,25-Nov-27
6961,G5-BC5,V3,19-Dec-27
7172,G5-DE6F,W4,23-Jan-28
8283,G5-GH7,X5,27-Feb-28
9394,G5-IJ8K,Y6,22-Mar-28
1516,G5-LM9,Z7,26-Apr-28
2627,G5-NO1P,A2,31-May-28
3738,G5-QR2,B3,25-Jun-28
4849,G5-ST3U,C4,29-Jul-28
5951,G5-VW4,D5,23-Aug-28
6162,G5-XY5Z,E6,27-Sep-28
7273,G5-AB6,F7,31-Oct-28
8384,G5-CD7E,G8,25-Nov-28
9495,G5-FG8,H9,19-Dec-28
1617,G5-HI9J,I1,23-Jan-29
2728,G5-KL1,J2,27-Feb-29
3839,G5-MN2O,K3,23-Mar-29
4941,G5-PQ3,L4,27-Apr-29
5152,G5-RS4T,M5,31-May-29
6263,G5-UV5,N6,25-Jun-29
7374,G5-WX6Y,O7,29-Jul-29
8485,G5-ZA7,P8,23-Aug-29
9596,G5-BC8D,Q9,27-Sep-29
1718,G5-EF9,R1,31-Oct-29
2829,G5-GH1I,S2,25-Nov-29
3931,G5-JK2,T3,19-Dec-29
4142,G5-LM3N,U4,23-Jan-30
5253,G5-OP4,V5,27-Feb-30
6364,G5-QR5S,W6,23-Mar-30
7475,G5-TU6,X7,27-Apr-30
8586,G5-VW7X,Y8,31-May-30
9697,G5-YZ8,Z9,25-Jun-30
2921,G5-C1D,B4,23-Aug-30
3132,G5-E2F3,C5,27-Sep-30
6465,G5-K7L,F8,19-Dec-30
7576,G5-M8N9,G9,23-Jan-31
8687,G5-O1P2,H1,27-Feb-31
9798,G5-Q3R,I2,23-Mar-31
1921,G5-S4T5,J3,27-Apr-31
2132,G5-U6V,K4,31-May-31
3243,G5-W7X8,L5,25-Jun-31
4354,G5-Y9Z,M6,29-Jul-31
5465,G5-A2B3,N7,23-Aug-31
6576,G5-C4D5,O8,27-Sep-31
7687,G5-E6F7,P9,31-Oct-31
8798,G5-G8H9,Q1,25-Nov-31
9819,G5-I1J2,R2,19-Dec-31
2143,G5-K3L4,S3,23-Jan-32
3254,G5-M5N6,T4,27-Feb-32
4365,G5-O7P8,U5,22-Mar-32
6587,G5-S2T3,W7,30-May-32
7698,G5-U4V5,X8,24-Jun-32
9912,G5-N2O,G6,15-Sep-26
9123,G5-F7G8,P6,23-Jun-27
1231,G5-H9I,Q7,27-Jul-27
2342,G5-J1K2,R8,10-Aug-27
3453,G5-L3M4,S9,14-Sep-27
4564,G5-N5O,T1,18-Oct-27
5675,G5-P6Q7,U2,22-Nov-27
6786,G5-R8S9,V3,16-Dec-27
7897,G5-T1U2,W4,20-Jan-28
8918,G5-V3W,X5,24-Feb-28
9129,G5-X4Y5,Y6,19-Mar-28
1241,G5-Z6A7,Z9,23-Apr-28
2352,G5-B8C9,A2,27-May-28
3463,G5-D1E,B3,10-Jun-28
4574,G5-F2G3,C4,14-Jul-28
5685,G5-H4I5,D5,18-Aug-28
6796,G5-J6K,E6,22-Sep-28
7817,G5-L7M8,F7,26-Oct-28
8928,G5-N9O1,G8,19-Nov-28
9139,G5-P2Q,H9,23-Dec-28
1251,G5-R3S4,I1,27-Jan-29
2362,G5-T5U6,J2,20-Feb-29
3473,G5-V7W8,K3,16-Mar-29
4584,G5-X9Y,L4,20-Apr-29
5695,G5-Z1A2,M5,24-May-29
6716,G5-B3C4,N6,18-Jun-29
7827,G5-D5E,O7,22-Jul-29
8938,G5-F6G7,P8,26-Aug-29
9149,G5-H8I9,Q9,19-Sep-29
1261,G5-J1K,R1,23-Oct-29
2372,G5-L2M3,S2,27-Nov-29
3483,G5-N4O5,T3,21-Dec-29
4594,G5-P6Q8,U4,25-Jan-30
5615,G5-R9S1,V5,18-Feb-30
6726,G5-T2U3,W6,14-Mar-30
7837,G5-V4W5,X7,18-Apr-30
8948,G5-X6Y7,Y8,22-May-30
9159,G5-Z8A9,Z1,26-Jun-30
1271,G5-B1C2,A3,20-Jul-30
2382,G5-D3E4,B4,24-Aug-30
3493,G5-F5G6,C5,18-Sep-30
4514,G5-H7I8,D6,22-Oct-30
5625,G5-J9K1,E7,26-Nov-30
6736,G5-L2N3,F8,20-Dec-30
7847,G5-M4P5,G9,24-Jan-31
8958,G5-O6R7,H1,17-Feb-31
9169,G5-Q8T9,I2,13-Mar-31
1281,G5-S1V2,J3,17-Apr-31
2392,G5-U3X4,K4,21-May-31
3413,G5-W5Z6,L5,25-Jun-31
4524,G5-Y7B8,M6,19-Jul-31
5635,G5-A9D1,N7,23-Aug-31
6746,G5-C2F3,O8,17-Sep-31
7857,G5-E4H5,P9,21-Oct-31
8968,G5-G6J7,Q1,25-Nov-31
9179,G5-I8L9,R2,19-Dec-31
1291,G5-K1N2,S3,23-Jan-32
2313,G5-M3P4,T4,16-Feb-32
3424,G5-O5R6,U5,11-Mar-32
4535,G5-Q7T8,V6,15-Apr-32
1123,G5-FF45,S3,06-Jul-31
2234,G5-GG6,T4,03-Aug-31
3345,G5-HH67,U5,31-Aug-31
4456,G5-II8,V6,28-Sep-31
5567,G5-JJ89,W8,26-Oct-31
2134,G5-ZA8B,S3,15-Jan-32
3245,G5-CD9,T4,19-Feb-32
4356,G5-EF1G,U5,25-Mar-32
5467,G5-HI2,V6,29-Apr-32
6578,G5-JK3L,W7,15-May-32
7689,G5-MN4,X8,19-Jun-32
2222,G5-G5H,Q8,22-May-25
3333,G5-I6J7,R9,26-Jun-25
4444,G5-K8L,S1,30-Jul-25
5555,G5-M9N1,T2,13-Aug-25
6666,G5-O2P,U3,17-Sep-25
7777,G5-Q3R4,V4,21-Oct-25
8888,G5-S5T,W5,25-Nov-25
9999,G5-U6V7,X6,19-Dec-25
1212,G5-GG,G6,16-Sep-26
2323,G5-HH55,H7,20-Oct-26
3434,G5-II,I8,24-Nov-26
4545,G5-JJ66,J9,18-Dec-26
5656,G5-KK,K1,22-Jan-27
6767,G5-LL77,L2,26-Feb-27
7878,G5-MM,M3,12-Mar-27
8989,G5-NN88,N4,16-Apr-27
1313,G5-OO,O5,20-May-27
2424,G5-PP99,P6,24-Jun-27
3535,G5-QQ,Q7,28-Jul-27
4646,G5-RR11,R8,11-Aug-27
5757,G5-SS,S9,15-Sep-27
6868,G5-TT22,T1,19-Oct-27
7979,G5-UU,U2,23-Nov-27
1414,G5-VV33,V3,17-Dec-27
2525,G5-WW,W4,21-Jan-28
3636,G5-XX44,X5,25-Feb-28
4747,G5-YY,Y6,10-Mar-28
5858,G5-ZZ55,Z9,14-Apr-28
6969,G5-A2,A2,18-May-28
1515,G5-B3C,B3,22-Jun-28
2626,G5-D4E5,C4,26-Jul-28
3737,G5-F6G,D5,19-Aug-28
5959,G5-J9K,F7,27-Oct-28
1616,G5-L1M2,G8,11-Nov-28
2727,G5-N3O,H9,15-Dec-28
3838,G5-P4Q5,I1,19-Jan-29
4949,G5-R6S,J2,23-Feb-29
1717,G5-T7U8,K3,19-Mar-29
2828,G5-V9W,L4,23-Apr-29
3939,G5-X1Y2,M5,27-May-29
1818,G5-Z3A4,N6,11-Jun-29
2929,G5-B5C,O7,15-Jul-29
1919,G5-D6E7,P8,19-Aug-29
3131,G5-F8G9,Q9,23-Sep-29
4141,G5-H1I,R1,27-Oct-29
5151,G5-J2K3,S2,11-Nov-29
6161,G5-L4M,T3,15-Dec-29
7171,G5-N5O6,U4,19-Jan-30
8181,G5-P7Q,V5,23-Feb-30
1221,G5-T1U,X7,23-Apr-30
2332,G5-V2W3,Y8,27-May-30
3443,G5-X4Y,Z1,11-Jun-30
4554,G5-Z5A6,A3,15-Jul-30
5665,G5-B7C8,B4,19-Aug-30
6776,G5-D9E,C5,23-Sep-30
7887,G5-F1G2,D6,27-Oct-30
8998,G5-H3I4,E7,11-Nov-30
1331,G5-J5K,F8,15-Dec-30
2442,G5-L6M7,G9,19-Jan-31
3553,G5-N8O9,H1,23-Feb-31
4664,G5-P1Q2,I2,19-Mar-31
1441,G5-X9Y1,M6,15-Jul-31
2552,G5-Z2A3,N7,19-Aug-31
3663,G5-B4C5,O8,23-Sep-31
4774,G5-D6E8,P9,27-Oct-31
5885,G5-F9G1,Q1,11-Nov-31
6996,G5-H2I3,R2,15-Dec-31
1551,G5-J4K5,S3,19-Jan-32
4884,G5-P2Q3,V6,23-Apr-32
2123,G5-MN12,K4,19-May-31
3234,G5-OP23,L5,23-Jun-31
5456,G5-ST45,N7,14-Aug-31
6567,G5-UV56,O8,18-Sep-31
7678,G5-WX67,P9,22-Oct-31
8789,G5-YZ78,Q1,26-Nov-31
9891,G5-AB89,R2,30-Dec-31
2214,G5-EF13,T4,17-Feb-32
3315,G5-GH24,U5,24-Mar-32
4416,G5-IJ35,V6,28-Apr-32
